baseline,gumbel,dataset,representation_dim,batch_size,vocab_size,message_length,message_length_tt,num_pretrain_epochs,num_dialogue_epochs,learning_rate_phase1,learning_rate_phase2_a,learning_rate_phase2_b,agent_a_training_mode,dataset_tt,test_time_mode,num_iterations,learning_rate_tt,sampling_temperature_tt,best_of_n,number_of_candidates,num_test_classes,commitment_weight,sampling_temperature,tau_0,freeze_codebook,decay,entropy_regularization_factor,contrastive_loss_temperature,sim,pretrained_checkpoint_a,pretrained_checkpoint_b,dialogued_checkpoint,metric_path,seed
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,4,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,4,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,4,50,0.25,1e-5,0.3,True,0.99,0,0.01,cosine,None,None,20260217_1444_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,3
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,8,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,8,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,8,50,0.25,1e-5,0.3,True,0.99,0,0.01,cosine,None,None,20260217_1444_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,3
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,16,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,16,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,30,1e-3,1e-2,10,16,50,0.25,1e-5,0.3,True,0.99,0,0.01,cosine,None,None,20260217_1444_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,3
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,4,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,4,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,4,50,0.25,1e-5,0.3,True,0.99,0,0.01,cosine,None,None,20260217_1444_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,3
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,8,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,8,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,8,50,0.25,1e-5,0.3,True,0.99,0,0.01,cosine,None,None,20260217_1444_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,3
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,16,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260212_1441_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,1
True,True,mnist1,192,32,10,[3 4],15,50,100,1e-5,1e-5,1e-5,frozen,mnist2,oracle_adaptation,15,1e-4,1e-2,10,16,50,0.25,1e-5,0.1,True,0.99,0,0.01,cosine,None,None,20260216_2326_bs32_vocab10_repr192_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,2
